,name,height,weight,Unnamed: 0,car_model,year_of_manufacture,price,fuel,Unnamed: 0.1
0,,,,0.0,ritz,2014.0,5000.0,Petrol,
1,,,,1.0,sx4,2013.0,7089.55,Diesel,
2,,,,2.0,ciaz,2017.0,10820.9,Petrol,
3,,,,3.0,wagon r,2011.0,4253.73,Petrol,
4,,,,4.0,swift,2014.0,6865.67,Diesel,
5,,,,5.0,vitara brezza,2018.0,13805.97,Diesel,
6,,,,6.0,ciaz,2015.0,10074.63,Petrol,
7,,,,7.0,s cross,2015.0,9701.49,Diesel,
8,,,,8.0,ciaz,2016.0,13059.7,Diesel,
9,,,,9.0,ciaz,2015.0,11119.4,Diesel,
10,,,,10.0,alto 800,2017.0,4253.73,Petrol,
11,,,,11.0,ciaz,2015.0,10223.88,Diesel,
12,,,,12.0,ciaz,2015.0,11194.03,Petrol,
13,,,,13.0,ertiga,2015.0,9104.48,Petrol,
14,,,,14.0,dzire,2009.0,3358.21,Petrol,
15,,,,15.0,ertiga,2016.0,11567.16,Diesel,
16,,,,16.0,ertiga,2015.0,10820.9,Diesel,
17,,,,17.0,ertiga,2016.0,11567.16,Diesel,
18,,,,18.0,wagon r,2015.0,4850.75,CNG,
19,,,,19.0,sx4,2010.0,3955.22,Petrol,
20,,,,20.0,alto k10,2016.0,4253.73,Petrol,
21,,,,21.0,ignis,2017.0,7313.43,Petrol,
22,,,,22.0,sx4,2011.0,6567.16,Petrol,
23,,,,23.0,alto k10,2014.0,3731.34,Petrol,
24,,,,24.0,wagon r,2013.0,4328.36,Petrol,
25,,,,25.0,swift,2011.0,4477.61,Petrol,
26,,,,26.0,swift,2013.0,6194.03,Petrol,
27,,,,27.0,swift,2017.0,8955.22,Petrol,
28,,,,28.0,alto k10,2010.0,2910.45,Petrol,
29,,,,29.0,ciaz,2015.0,11119.4,Diesel,
30,,,,30.0,ritz,2012.0,4626.87,Diesel,
31,,,,31.0,ritz,2011.0,3507.46,Petrol,
32,,,,32.0,swift,2014.0,7388.06,Diesel,
33,,,,33.0,ertiga,2014.0,8955.22,Diesel,
34,,,,34.0,dzire,2014.0,8208.96,Diesel,
35,,,,35.0,sx4,2011.0,4402.99,CNG,
36,,,,36.0,dzire,2015.0,6940.3,Petrol,
37,,,,37.0,800,2003.0,522.39,Petrol,
38,,,,38.0,alto k10,2016.0,4477.61,Petrol,
39,,,,39.0,sx4,2003.0,3358.21,Petrol,
40,,,,40.0,baleno,2016.0,8731.34,Petrol,
41,,,,41.0,alto k10,2014.0,3805.97,Petrol,
42,,,,42.0,sx4,2008.0,2910.45,Petrol,
43,,,,43.0,dzire,2014.0,8208.96,Diesel,
44,,,,44.0,omni,2012.0,1865.67,Petrol,
45,,,,45.0,ciaz,2014.0,11194.03,Petrol,
46,,,,46.0,ritz,2013.0,3955.22,Petrol,
47,,,,47.0,wagon r,2006.0,1567.16,Petrol,
48,,,,48.0,ertiga,2015.0,8656.72,Petrol,
49,,,,49.0,ciaz,2017.0,11567.16,Petrol,
50,,,,50.0,fortuner,2012.0,22238.81,Diesel,
51,,,,51.0,fortuner,2015.0,34328.36,Diesel,
52,,,,52.0,innova,2017.0,26865.67,Diesel,
53,,,,53.0,fortuner,2013.0,23880.6,Diesel,
54,,,,54.0,innova,2005.0,4104.48,Petrol,
55,,,,55.0,corolla altis,2009.0,5373.13,Petrol,
56,,,,56.0,etios cross,2015.0,6716.42,Petrol,
57,,,,57.0,corolla altis,2010.0,7089.55,Petrol,
58,,,,58.0,etios g,2014.0,6119.4,Petrol,
59,,,,59.0,fortuner,2014.0,29835.82,Diesel,
60,,,,60.0,corolla altis,2013.0,10373.13,Petrol,
61,,,,61.0,etios cross,2015.0,6716.42,Petrol,
62,,,,62.0,fortuner,2014.0,27985.07,Diesel,
63,,,,63.0,fortuner,2015.0,35074.63,Diesel,
64,,,,64.0,fortuner,2017.0,49253.73,Diesel,
65,,,,65.0,etios liva,2014.0,7089.55,Diesel,
66,,,,66.0,innova,2017.0,29477.61,Petrol,
67,,,,67.0,fortuner,2010.0,13805.97,Diesel,
68,,,,68.0,corolla altis,2011.0,6492.54,Petrol,
69,,,,69.0,corolla altis,2016.0,21268.66,Petrol,
70,,,,70.0,etios liva,2014.0,5895.52,Diesel,
71,,,,71.0,corolla altis,2011.0,6716.42,Diesel,
72,,,,72.0,corolla altis,2013.0,11119.4,Petrol,
73,,,,73.0,etios liva,2011.0,3955.22,Petrol,
74,,,,74.0,etios cross,2014.0,7313.43,Diesel,
75,,,,75.0,etios g,2015.0,5895.52,Petrol,
76,,,,76.0,corolla altis,2013.0,8208.96,Petrol,
77,,,,77.0,corolla,2004.0,2238.81,Petrol,
78,,,,78.0,corolla altis,2010.0,7835.82,Petrol,
79,,,,79.0,fortuner,2012.0,21641.79,Diesel,
80,,,,80.0,corolla altis,2016.0,21985.07,Diesel,
81,,,,81.0,etios gd,2015.0,7089.55,Diesel,
82,,,,82.0,innova,2017.0,34328.36,Diesel,
83,,,,83.0,innova,2015.0,18656.72,Diesel,
84,,,,84.0,innova,2005.0,5208.96,Diesel,
85,,,,85.0,camry,2006.0,3731.34,Petrol,
86,,,,86.0,land cruiser,2010.0,52238.81,Diesel,
87,,,,87.0,corolla altis,2012.0,8805.97,Petrol,
88,,,,88.0,etios liva,2013.0,5149.25,Petrol,
89,,,,89.0,etios g,2014.0,7089.55,Petrol,
90,alex,1.67,51.25,,,,,,
91,ajay,1.82,61.91,,,,,,
92,alice,1.76,69.41,,,,,,
93,ravi,1.73,64.56,,,,,,
94,joe,1.72,65.45,,,,,,
95,alex,1.67,51.25,,,,,,
96,ajay,1.82,61.91,,,,,,
97,alice,1.76,69.41,,,,,,
98,ravi,1.73,64.56,,,,,,
99,joe,1.72,65.45,,,,,,
100,alex,1.67,51.25,,,,,,
101,ajay,1.82,61.91,,,,,,
102,alice,1.76,69.41,,,,,,
103,ravi,1.73,64.56,,,,,,
104,joe,1.72,65.45,,,,,,
105,alex,0.04,23.25,0.0,,,,,
106,ajay,0.05,28.08,1.0,,,,,
107,alice,0.04,31.48,2.0,,,,,
108,ravi,0.04,29.28,3.0,,,,,
109,joe,0.04,29.69,4.0,,,,,
110,alex,0.04,23.25,5.0,,,,,
111,ajay,0.05,28.08,6.0,,,,,
112,alice,0.04,31.48,7.0,,,,,
113,ravi,0.04,29.28,8.0,,,,,
114,joe,0.04,29.69,9.0,,,,,
115,alex,0.04,23.25,10.0,,,,,
116,ajay,0.05,28.08,11.0,,,,,
117,alice,0.04,31.48,12.0,,,,,
118,ravi,0.04,29.28,13.0,,,,,
119,joe,0.04,29.69,14.0,,,,,
120,,,,15.0,ritz,2014.0,5000.0,Petrol,0.0
121,,,,16.0,sx4,2013.0,7089.55,Diesel,1.0
122,,,,17.0,ciaz,2017.0,10820.9,Petrol,2.0
123,,,,18.0,wagon r,2011.0,4253.73,Petrol,3.0
124,,,,19.0,swift,2014.0,6865.67,Diesel,4.0
125,,,,20.0,vitara brezza,2018.0,13805.97,Diesel,5.0
126,,,,21.0,ciaz,2015.0,10074.63,Petrol,6.0
127,,,,22.0,s cross,2015.0,9701.49,Diesel,7.0
128,,,,23.0,ciaz,2016.0,13059.7,Diesel,8.0
129,,,,24.0,ciaz,2015.0,11119.4,Diesel,9.0
130,,,,25.0,alto 800,2017.0,4253.73,Petrol,10.0
131,,,,26.0,ciaz,2015.0,10223.88,Diesel,11.0
132,,,,27.0,ciaz,2015.0,11194.03,Petrol,12.0
133,,,,28.0,ertiga,2015.0,9104.48,Petrol,13.0
134,,,,29.0,dzire,2009.0,3358.21,Petrol,14.0
135,,,,30.0,ertiga,2016.0,11567.16,Diesel,15.0
136,,,,31.0,ertiga,2015.0,10820.9,Diesel,16.0
137,,,,32.0,ertiga,2016.0,11567.16,Diesel,17.0
138,,,,33.0,wagon r,2015.0,4850.75,CNG,18.0
139,,,,34.0,sx4,2010.0,3955.22,Petrol,19.0
140,,,,35.0,alto k10,2016.0,4253.73,Petrol,20.0
141,,,,36.0,ignis,2017.0,7313.43,Petrol,21.0
142,,,,37.0,sx4,2011.0,6567.16,Petrol,22.0
143,,,,38.0,alto k10,2014.0,3731.34,Petrol,23.0
144,,,,39.0,wagon r,2013.0,4328.36,Petrol,24.0
145,,,,40.0,swift,2011.0,4477.61,Petrol,25.0
146,,,,41.0,swift,2013.0,6194.03,Petrol,26.0
147,,,,42.0,swift,2017.0,8955.22,Petrol,27.0
148,,,,43.0,alto k10,2010.0,2910.45,Petrol,28.0
149,,,,44.0,ciaz,2015.0,11119.4,Diesel,29.0
150,,,,45.0,ritz,2012.0,4626.87,Diesel,30.0
151,,,,46.0,ritz,2011.0,3507.46,Petrol,31.0
152,,,,47.0,swift,2014.0,7388.06,Diesel,32.0
153,,,,48.0,ertiga,2014.0,8955.22,Diesel,33.0
154,,,,49.0,dzire,2014.0,8208.96,Diesel,34.0
155,,,,50.0,sx4,2011.0,4402.99,CNG,35.0
156,,,,51.0,dzire,2015.0,6940.3,Petrol,36.0
157,,,,52.0,800,2003.0,522.39,Petrol,37.0
158,,,,53.0,alto k10,2016.0,4477.61,Petrol,38.0
159,,,,54.0,sx4,2003.0,3358.21,Petrol,39.0
160,,,,55.0,baleno,2016.0,8731.34,Petrol,40.0
161,,,,56.0,alto k10,2014.0,3805.97,Petrol,41.0
162,,,,57.0,sx4,2008.0,2910.45,Petrol,42.0
163,,,,58.0,dzire,2014.0,8208.96,Diesel,43.0
164,,,,59.0,omni,2012.0,1865.67,Petrol,44.0
165,,,,60.0,ciaz,2014.0,11194.03,Petrol,45.0
166,,,,61.0,ritz,2013.0,3955.22,Petrol,46.0
167,,,,62.0,wagon r,2006.0,1567.16,Petrol,47.0
168,,,,63.0,ertiga,2015.0,8656.72,Petrol,48.0
169,,,,64.0,ciaz,2017.0,11567.16,Petrol,49.0
170,,,,65.0,fortuner,2012.0,22238.81,Diesel,50.0
171,,,,66.0,fortuner,2015.0,34328.36,Diesel,51.0
172,,,,67.0,innova,2017.0,26865.67,Diesel,52.0
173,,,,68.0,fortuner,2013.0,23880.6,Diesel,53.0
174,,,,69.0,innova,2005.0,4104.48,Petrol,54.0
175,,,,70.0,corolla altis,2009.0,5373.13,Petrol,55.0
176,,,,71.0,etios cross,2015.0,6716.42,Petrol,56.0
177,,,,72.0,corolla altis,2010.0,7089.55,Petrol,57.0
178,,,,73.0,etios g,2014.0,6119.4,Petrol,58.0
179,,,,74.0,fortuner,2014.0,29835.82,Diesel,59.0
180,,,,75.0,corolla altis,2013.0,10373.13,Petrol,60.0
181,,,,76.0,etios cross,2015.0,6716.42,Petrol,61.0
182,,,,77.0,fortuner,2014.0,27985.07,Diesel,62.0
183,,,,78.0,fortuner,2015.0,35074.63,Diesel,63.0
184,,,,79.0,fortuner,2017.0,49253.73,Diesel,64.0
185,,,,80.0,etios liva,2014.0,7089.55,Diesel,65.0
186,,,,81.0,innova,2017.0,29477.61,Petrol,66.0
187,,,,82.0,fortuner,2010.0,13805.97,Diesel,67.0
188,,,,83.0,corolla altis,2011.0,6492.54,Petrol,68.0
189,,,,84.0,corolla altis,2016.0,21268.66,Petrol,69.0
190,,,,85.0,etios liva,2014.0,5895.52,Diesel,70.0
191,,,,86.0,corolla altis,2011.0,6716.42,Diesel,71.0
192,,,,87.0,corolla altis,2013.0,11119.4,Petrol,72.0
193,,,,88.0,etios liva,2011.0,3955.22,Petrol,73.0
194,,,,89.0,etios cross,2014.0,7313.43,Diesel,74.0
195,,,,90.0,etios g,2015.0,5895.52,Petrol,75.0
196,,,,91.0,corolla altis,2013.0,8208.96,Petrol,76.0
197,,,,92.0,corolla,2004.0,2238.81,Petrol,77.0
198,,,,93.0,corolla altis,2010.0,7835.82,Petrol,78.0
199,,,,94.0,fortuner,2012.0,21641.79,Diesel,79.0
200,,,,95.0,corolla altis,2016.0,21985.07,Diesel,80.0
201,,,,96.0,etios gd,2015.0,7089.55,Diesel,81.0
202,,,,97.0,innova,2017.0,34328.36,Diesel,82.0
203,,,,98.0,innova,2015.0,18656.72,Diesel,83.0
204,,,,99.0,innova,2005.0,5208.96,Diesel,84.0
205,,,,100.0,camry,2006.0,3731.34,Petrol,85.0
206,,,,101.0,land cruiser,2010.0,52238.81,Diesel,86.0
207,,,,102.0,corolla altis,2012.0,8805.97,Petrol,87.0
208,,,,103.0,etios liva,2013.0,5149.25,Petrol,88.0
209,,,,104.0,etios g,2014.0,7089.55,Petrol,89.0
210,jack,0.04,25.37,105.0,,,,,
211,tom,0.04,29.11,106.0,,,,,
212,tracy,0.05,28.08,107.0,,,,,
213,john,0.04,23.12,108.0,,,,,
214,jack,0.04,25.37,109.0,,,,,
215,tom,0.04,29.11,110.0,,,,,
216,tracy,0.05,28.08,111.0,,,,,
217,john,0.04,23.12,112.0,,,,,
218,jack,0.04,25.37,113.0,,,,,
219,tom,0.04,29.11,114.0,,,,,
220,tracy,0.05,28.08,115.0,,,,,
221,john,0.04,23.12,116.0,,,,,
222,simon,0.04,23.12,117.0,,,,,
223,jacob,0.04,24.83,118.0,,,,,
224,cindy,0.04,26.22,119.0,,,,,
225,ivan,0.04,23.48,120.0,,,,,
226,simon,0.04,23.12,121.0,,,,,
227,jacob,0.04,24.83,122.0,,,,,
228,cindy,0.04,26.22,123.0,,,,,
229,ivan,0.04,23.48,124.0,,,,,
230,simon,0.04,23.12,125.0,,,,,
231,jacob,0.04,24.83,126.0,,,,,
232,cindy,0.04,26.22,127.0,,,,,
233,ivan,0.04,23.48,128.0,,,,,
234,jack,1.74,55.93,,,,,,
235,tom,1.77,64.18,,,,,,
236,tracy,1.78,61.9,,,,,,
237,john,1.72,50.97,,,,,,
238,jack,1.74,55.93,,,,,,
239,tom,1.77,64.18,,,,,,
240,tracy,1.78,61.9,,,,,,
241,john,1.72,50.97,,,,,,
242,jack,1.74,55.93,,,,,,
243,tom,1.77,64.18,,,,,,
244,tracy,1.78,61.9,,,,,,
245,john,1.72,50.97,,,,,,
246,simon,1.72,50.97,,,,,,
247,jacob,1.7,54.73,,,,,,
248,cindy,1.69,57.81,,,,,,
249,ivan,1.72,51.77,,,,,,
250,simon,1.72,50.97,,,,,,
251,jacob,1.7,54.73,,,,,,
252,cindy,1.69,57.81,,,,,,
253,ivan,1.72,51.77,,,,,,
254,simon,1.72,50.97,,,,,,
255,jacob,1.7,54.73,,,,,,
256,cindy,1.69,57.81,,,,,,
257,ivan,1.72,51.77,,,,,,
